index,loan_id,disp_id,type,loan_acc_number,acc_open_date,acc_closure_date,duration_months,principal_,outstanding,interest_rate
71,585,3753,Home Renovation Loan,3520121209587426.0,2023-10-01,,3,63000,51730.07,8.02
15,1263,5323,Home Renovation Loan,2.23405e+15,2021-06-11,,3,25000,10282.51,8.49
443,316,2013,Home Renovation Loan,676393839235.0,2022-06-17,,3,97000,66575.92,10.05
29,1277,1691,Home Renovation Loan,213131588691788.0,2022-09-25,,3,55000,9438.49,8.55
512,596,3811,Home Renovation Loan,4023862489182.0,2022-10-19,,3,38000,31583.45,12.65
446,222,1345,Home Renovation Loan,213175355012868.0,2022-06-19,,3,57000,22631.11,8.65
11,1259,5117,Home Renovation Loan,4725433808451842.0,2021-06-02,,3,75000,62839.95,15.81
505,327,2117,Home Renovation Loan,30410230069036.0,2022-10-03,,3,90000,88063.64,10.29
25,1273,2948,Home Renovation Loan,6011956935509254.0,2023-02-11,,3,9000,5860.63,8.32
504,30,202,Home Renovation Loan,343284591096389.0,2022-10-01,,3,11000,9728.46,6.36
26,1274,1310,Home Renovation Loan,213135466084289.0,2022-08-01,,3,93000,25053.58,7.51
238,377,2429,Home Renovation Loan,30418080810177.0,2019-03-03,,3,11000,8486.9,15.43
617,290,1833,Home Renovation Loan,6011706177154073.0,2023-03-24,,3,19000,143.58,15.65
672,770,5232,Home Renovation Loan,4819930099089.0,2023-06-15,,3,64000,54479.13,13.38
771,1188,12678,Home Renovation Loan,3516523284244953.0,2023-09-19,,3,55000,23392.96,7.0
423,69,438,Home Renovation Loan,501856373607.0,2022-05-17,,3,10000,2289.6,13.01
13,1261,167,Home Renovation Loan,4.0849560479034004e+18,2023-09-14,,3,22000,18419.75,9.38
684,80,471,Home Renovation Loan,4278608533549264.0,2023-06-25,,3,55000,28920.72,15.28
866,306,1929,Home Renovation Loan,2.72022e+15,2023-12-11,,3,10000,6867.28,11.89
274,661,4270,Home Renovation Loan,2720006582712776.0,2020-07-03,,3,16000,5517.13,15.23
482,610,3894,Home Renovation Loan,2720667256146169.0,2022-08-29,,3,38000,21550.71,7.79
30,1278,3640,Home Renovation Loan,4430749496835822.0,2023-12-30,,3,3000,1169.93,9.85
769,620,3959,Home Renovation Loan,571750709644.0,2023-09-17,,3,30000,24001.8,15.29
278,410,2569,Home Renovation Loan,4290779676777.0,2020-07-20,,3,55000,48777.39,15.96
590,796,5579,Home Renovation Loan,4943875486273.0,2023-02-20,,3,20000,2819.19,11.31
361,690,4479,Home Renovation Loan,4221175297770815.0,2021-11-07,,3,60000,44241.56,8.31
849,56,339,Home Renovation Loan,60481239402.0,2023-11-22,,3,48000,27899.07,10.6
17,1265,2662,Home Renovation Loan,4781790916430542.0,2023-01-05,,3,77000,67520.49,13.32
6,1176,12502,Home Renovation Loan,4924283467942683.0,2021-07-03,,3,70000,60909.14,15.02
245,478,3084,Home Renovation Loan,501807279291.0,2019-10-09,,3,58000,34935.58,11.87
10,1258,4587,Home Renovation Loan,213157988763547.0,2023-07-05,,3,23000,1914.89,7.77
510,633,4078,Home Renovation Loan,4627345778175.0,2022-10-12,,3,55000,19110.63,14.62
273,107,593,Home Renovation Loan,4.7465568978738627e+18,2020-06-27,,3,73000,53624.59,9.16
587,246,1492,Home Renovation Loan,675982064809.0,2023-02-08,,3,65000,51795.38,6.53
680,173,1031,Home Renovation Loan,370804451587817.0,2023-06-21,,3,8000,4860.59,12.57
524,273,1758,Home Renovation Loan,30567920221613.0,2022-11-07,,3,6000,1208.45,14.9
412,539,3415,Home Renovation Loan,3546189202963829.0,2022-04-23,,3,16000,6154.23,6.68
19,1267,584,Home Renovation Loan,30113610773454.0,2022-04-18,,3,97000,36916.74,12.35
17,1009,9409,Home Renovation Loan,6565929707957795.0,2022-06-14,,3,45000,24322.72,15.31
347,40,255,Home Renovation Loan,4660818992788594.0,2021-10-13,,3,79000,43065.11,10.45
349,390,2490,Home Renovation Loan,3509470041031514.0,2021-10-14,,3,15000,11937.14,13.14
248,376,2428,Home Renovation Loan,573133755435.0,2019-11-10,,3,53000,16843.67,10.24
480,355,2267,Home Renovation Loan,4102829111665.0,2022-08-28,,3,78000,11485.28,10.74
462,591,3779,Home Renovation Loan,379875162977274.0,2022-07-23,,6,94000,11077.6,14.63
744,711,4592,Home Renovation Loan,4366674686325.0,2023-08-19,,6,100000,68826.62,15.06
31,1279,629,Home Renovation Loan,378102328299175.0,2021-11-24,,6,58000,46728.93,15.4
35,1283,264,Home Renovation Loan,4329020768387.0,2023-08-13,,6,71000,29291.9,12.24
623,492,3166,Home Renovation Loan,6011641969538094.0,2023-04-09,,6,95000,63999.29,14.43
12,1260,906,Home Renovation Loan,344575225745765.0,2023-06-04,,6,30000,14515.71,10.58
1,1249,1831,Home Renovation Loan,4205612454497.0,2022-06-26,,6,33000,20013.06,12.81
519,1016,9525,Home Renovation Loan,4.164266091004734e+18,2022-10-28,,6,23000,19740.63,11.72
552,1105,11237,Home Renovation Loan,378728917012866.0,2022-12-13,,6,6000,242.61,10.42
414,576,3671,Home Renovation Loan,4136128737527109.0,2022-04-30,,6,93000,68862.65,12.96
37,459,2958,Home Renovation Loan,4826312644077631.0,2023-02-11,,6,46000,35962.64,13.05
5,1253,649,Home Renovation Loan,30510858084009.0,2023-06-28,,6,48000,28999.56,14.06
707,1167,12335,Home Renovation Loan,6504206861213891.0,2023-07-18,,6,54000,46312.63,7.12
28,1276,4061,Home Renovation Loan,2233949875385489.0,2023-11-21,,6,77000,54191.47,13.72
584,348,2203,Home Renovation Loan,4382148114455.0,2023-02-02,,6,63000,61618.44,14.96
23,1271,4328,Home Renovation Loan,6011373616586876.0,2021-12-30,,6,90000,40102.7,7.13
67,193,1179,Home Renovation Loan,4472092525440.0,2023-09-21,,6,23000,20307.51,12.48
466,75,457,Home Renovation Loan,180088670178612.0,2022-07-29,,6,50000,16541.95,11.1
793,460,2971,Home Renovation Loan,3575487976862084.0,2023-10-05,,6,21000,19568.44,9.59
507,656,4235,Home Renovation Loan,6011827854860491.0,2022-10-08,,6,92000,33759.35,11.26
498,279,1791,Home Renovation Loan,4434082240604.0,2022-09-21,,6,63000,60207.86,15.23
33,1281,8217,Home Renovation Loan,3519468979254858.0,2023-08-11,,6,95000,6724.59,13.43
456,476,3079,Home Renovation Loan,6566587467133285.0,2022-07-06,,6,26000,14257.37,12.76
380,325,2102,Home Renovation Loan,4754080454822398.0,2022-01-12,,6,13000,3179.36,13.51
3,1251,3763,Home Renovation Loan,2298131323588061.0,2022-08-07,,6,61000,4756.05,15.84
295,379,2431,Home Renovation Loan,30257740711940.0,2021-01-12,,12,38000,149.12,13.97
535,51,321,Home Renovation Loan,36989382400689.0,2022-11-21,,12,5000,4984.36,8.23
9,1257,4715,Home Renovation Loan,3566167808136193.0,2022-01-02,,12,5000,2430.33,12.96
27,1275,7959,Home Renovation Loan,4.1051788773105132e+18,2023-08-10,,12,30000,25910.98,14.48
588,655,4231,Home Renovation Loan,213197198412246.0,2023-02-13,,12,24000,4155.68,8.98
8,1256,3794,Home Renovation Loan,3541422265161642.0,2023-01-01,,12,93000,39431.28,7.86
32,1280,2888,Home Renovation Loan,2294608889287075.0,2023-09-26,,12,66000,53815.6,9.98
34,1282,900,Home Renovation Loan,6590540951496171.0,2022-12-06,,12,50000,22832.08,12.78
0,1248,6567,Home Renovation Loan,213191293929907.0,2023-01-06,,12,11000,2175.66,10.34
886,753,4974,Home Renovation Loan,3567646666422208.0,2023-12-25,,12,69000,27565.68,9.04
4,1252,221,Home Renovation Loan,6011083624816252.0,2023-01-17,,12,25000,14985.6,13.44
319,313,1980,Home Renovation Loan,3564221950570345.0,2021-06-17,,12,9000,7159.77,11.04
16,1264,826,Home Renovation Loan,341930728183126.0,2023-05-03,,18,76000,73650.91,10.59
75,158,928,Home Renovation Loan,30055349447373.0,2023-10-25,,18,41000,19847.47,12.76
877,196,1197,Home Renovation Loan,341865142205248.0,2023-12-22,,18,61000,55757.66,10.55
46,331,2125,Home Renovation Loan,4166345774439.0,2023-05-01,,18,7000,4822.57,6.18
712,613,3913,Home Renovation Loan,3517070549248659.0,2023-07-23,,18,87000,85574.4,8.88
332,227,1380,Home Renovation Loan,6573274070921478.0,2021-08-10,,18,18000,10272.52,6.64
874,452,2910,Home Renovation Loan,4.9069774553072589e+18,2023-12-19,,18,63000,15625.41,10.6
889,322,2063,Home Renovation Loan,60424083206.0,2023-12-28,,18,61000,47176.76,15.71
14,1262,9787,Home Renovation Loan,4845834906764439.0,2022-08-17,,18,29000,5094.43,11.96
844,177,1056,Home Renovation Loan,4494719438790479.0,2023-11-19,,18,6000,4731.39,11.57
774,361,2312,Home Renovation Loan,571835058595.0,2023-09-23,,18,15000,3585.11,14.38
27,153,886,Home Renovation Loan,4.5210622607838853e+18,2022-10-19,,18,60000,4786.68,11.33
622,370,2374,Consumer Durables Loan,3581262416614441.0,2023-04-03,,3,34000,3741.48,12.53
593,283,1800,Consumer Durables Loan,6572790359703734.0,2023-02-25,,3,33000,9115.16,7.36
810,749,4929,Consumer Durables Loan,2290240508491674.0,2023-10-19,,3,34000,5065.53,8.94
865,605,3874,Consumer Durables Loan,213114880706140.0,2023-12-11,,3,38000,21437.88,10.29
549,569,3616,Consumer Durables Loan,4.6893095520377242e+18,2022-12-12,,3,58000,19989.79,6.52
841,205,1242,Consumer Durables Loan,4058352268861083.0,2023-11-16,,3,33000,396.34,13.9
743,128,716,Consumer Durables Loan,30372531493481.0,2023-08-19,,3,22000,17358.07,14.76
389,582,3733,Consumer Durables Loan,3596656579821318.0,2022-01-22,,3,66000,10442.6,12.52
781,291,1836,Consumer Durables Loan,3586679160682131.0,2023-09-29,,3,26000,6894.85,11.33
470,688,4472,Consumer Durables Loan,213176118069831.0,2022-08-01,,3,23000,1239.61,6.13
503,234,1424,Consumer Durables Loan,562296297384.0,2022-09-29,,3,29000,7647.69,8.73
55,1303,3348,Consumer Durables Loan,3535589880312699.0,2023-08-05,,3,18000,4865.32,6.3
601,225,1359,Consumer Durables Loan,3516950496606499.0,2023-03-03,,3,16000,11201.92,7.65
891,635,4083,Consumer Durables Loan,372359519434088.0,2023-12-29,,3,71000,20790.16,6.25
288,92,508,Consumer Durables Loan,4927481421802624.0,2020-11-20,,3,69000,30625.47,9.42
303,989,9119,Consumer Durables Loan,5284385482046563.0,2021-02-21,,3,16000,4145.17,15.11
12,678,4405,Consumer Durables Loan,4.1263877647305743e+18,2022-01-20,,3,45000,4193.94,12.74
822,138,791,Consumer Durables Loan,3.54921e+15,2023-11-02,,3,44000,13457.98,13.07
682,365,2332,Consumer Durables Loan,38355261967982.0,2023-06-23,,3,20000,17513.5,15.49
74,1451,9452,Consumer Durables Loan,3527347229918787.0,2020-08-23,2022-03-03,3,25000,1779.35,10.47
548,507,3245,Consumer Durables Loan,4425243599793184.0,2022-12-11,,3,57000,11503.47,10.53
598,419,2626,Consumer Durables Loan,4001468846578482.0,2023-02-28,,3,48000,35212.07,6.22
578,274,1759,Consumer Durables Loan,36821850255305.0,2023-01-21,,3,15000,12345.79,11.83
855,4,42,Consumer Durables Loan,3584061882278815.0,2023-11-26,,3,63000,44453.26,7.01
563,154,887,Consumer Durables Loan,676370010263.0,2022-12-28,,3,34000,15898.64,9.34
747,395,2502,Consumer Durables Loan,4131363998994657.0,2023-08-24,,3,58000,53568.69,6.61
290,695,4507,Consumer Durables Loan,4404349133736.0,2020-12-15,,3,69000,25327.64,9.74
442,133,742,Consumer Durables Loan,6.01185e+15,2022-06-16,,3,79000,76128.28,13.75
434,90,503,Consumer Durables Loan,4012676468344887.0,2022-06-04,,3,48000,15037.43,15.89
532,579,3699,Consumer Durables Loan,4955330231543123.0,2022-11-18,,3,77000,71663.44,9.32
449,675,4376,Consumer Durables Loan,4136870187999532.0,2022-06-23,,3,58000,1768.99,7.7
758,551,3517,Consumer Durables Loan,675908929572.0,2023-09-03,,3,19000,12520.66,10.56
36,1413,1930,Consumer Durables Loan,30088429623381.0,2023-04-09,2023-11-26,3,40000,34116.79,9.47
494,703,4546,Consumer Durables Loan,6.58055e+15,2022-09-17,,3,33000,13703.18,14.32
39,1416,2489,Consumer Durables Loan,675903334976.0,2022-12-30,2023-11-28,3,79000,67878.17,14.44
509,124,688,Consumer Durables Loan,4474694312102.0,2022-10-10,,3,81000,68404.9,8.72
645,465,2995,Consumer Durables Loan,4.65437e+15,2023-05-15,,3,90000,70581.01,6.24
299,814,5911,Consumer Durables Loan,4570045681119.0,2021-02-15,,3,8000,6701.0,13.82
471,936,8030,Consumer Durables Loan,370067416241280.0,2022-08-02,,3,26000,13317.41,15.5
68,1445,1779,Consumer Durables Loan,3592190670338281.0,2021-03-31,2021-10-27,3,63000,57602.54,13.39
729,550,3515,Consumer Durables Loan,371495998174588.0,2023-08-08,,3,12000,1903.99,9.46
43,1420,3134,Consumer Durables Loan,4716364138602955.0,2022-11-29,2023-12-13,3,11000,2461.7,8.38
82,1459,2481,Consumer Durables Loan,340168560405973.0,2021-06-08,2022-07-11,3,48000,22821.38,14.77
708,727,4723,Consumer Durables Loan,4209276051177.0,2023-07-19,,3,72000,17647.14,6.03
48,1425,11771,Consumer Durables Loan,4.6361119256325816e+18,2023-04-08,2023-12-28,3,5000,946.88,11.95
27,1404,7683,Consumer Durables Loan,2.7209e+15,2022-02-25,2023-09-17,3,20000,13308.16,14.25
527,762,5132,Consumer Durables Loan,586086859574.0,2022-11-10,,3,17000,11770.0,11.62
661,823,6178,Consumer Durables Loan,4.377227113576554e+18,2023-06-05,,3,50000,12759.07,14.66
820,449,2865,Consumer Durables Loan,346310135845143.0,2023-10-28,,3,44000,31573.9,14.75
57,1305,3257,Consumer Durables Loan,3549697540758856.0,2023-11-27,,3,67000,58843.75,12.69
40,1288,2650,Consumer Durables Loan,4750060656051834.0,2021-03-21,,3,57000,49890.28,8.49
236,70,439,Consumer Durables Loan,6519292105647493.0,2019-02-08,,3,51000,17626.62,10.46
872,691,4492,Consumer Durables Loan,3597637748178722.0,2023-12-16,,3,24000,3708.64,14.55
734,684,4457,Consumer Durables Loan,6011382164956944.0,2023-08-11,,3,38000,35556.75,13.32
72,1449,3830,Consumer Durables Loan,4127091961125.0,2021-02-20,2022-01-02,3,83000,82482.78,12.18
313,183,1080,Consumer Durables Loan,2720700079060356.0,2021-05-08,,3,18000,5223.54,10.9
602,643,4157,Consumer Durables Loan,3530215124405231.0,2023-03-04,,3,80000,75205.53,15.24
420,1173,12442,Consumer Durables Loan,6525936382259537.0,2022-05-08,,3,1000,657.69,11.21
350,776,5263,Consumer Durables Loan,3584517520141921.0,2021-10-19,,3,37000,27991.83,9.07
508,436,2759,Consumer Durables Loan,3584112131633423.0,2022-10-09,,3,62000,51356.7,15.54
56,1433,2984,Consumer Durables Loan,3572092763916649.0,2018-12-29,2020-06-06,3,73000,31076.98,8.9
561,774,5249,Consumer Durables Loan,180084079070005.0,2022-12-25,,3,20000,7945.63,12.74
357,87,493,Consumer Durables Loan,213107583363441.0,2021-11-02,,3,33000,18171.57,8.6
289,1225,13268,Consumer Durables Loan,60445661675.0,2020-11-22,,3,65000,39215.92,10.2
736,581,3721,Consumer Durables Loan,639026597232.0,2023-08-13,,3,5000,1471.19,6.33
852,1175,12494,Consumer Durables Loan,4045349842335572.0,2023-11-24,,3,43000,41032.84,15.88
613,1189,12683,Consumer Durables Loan,30427216783166.0,2023-03-17,,3,24000,19956.13,13.63
463,694,4504,Consumer Durables Loan,4039288141184273.0,2022-07-24,,3,70000,21306.65,9.41
260,503,3225,Consumer Durables Loan,5.31479e+15,2020-03-08,,3,9000,3651.88,10.05
788,1193,12743,Consumer Durables Loan,4336583963073657.0,2023-10-01,,3,70000,18698.62,7.59
546,45,272,Consumer Durables Loan,6.50317e+15,2022-12-05,,3,77000,39573.06,9.17
246,563,3589,Consumer Durables Loan,4397799189119.0,2019-10-21,,3,30000,21478.49,10.03
12,1389,7127,Consumer Durables Loan,4722185542805.0,2021-09-08,2023-01-26,3,24000,11887.06,6.33
326,320,2045,Consumer Durables Loan,630491139733.0,2021-07-11,,3,16000,4343.9,8.18
636,918,7796,Consumer Durables Loan,3516852437379899.0,2023-04-27,,3,71000,8046.35,11.48
516,9,76,Consumer Durables Loan,4894937407069891.0,2022-10-25,,3,76000,37854.48,11.39
307,372,2395,Consumer Durables Loan,4963435665941485.0,2021-03-31,,3,57000,16232.35,7.91
862,692,4493,Consumer Durables Loan,30355836907750.0,2023-12-08,,3,28000,17130.29,7.85
558,608,3890,Consumer Durables Loan,213163192189107.0,2022-12-17,,3,16000,15993.29,15.76
599,248,1512,Consumer Durables Loan,5478411607669661.0,2023-03-01,,3,23000,14057.67,6.94
770,630,4019,Consumer Durables Loan,4852645547064793.0,2023-09-18,,3,22000,21766.05,13.92
271,719,4663,Consumer Durables Loan,3583418987579243.0,2020-06-24,,3,41000,15995.82,7.76
814,542,3439,Consumer Durables Loan,4646614202460978.0,2023-10-22,,3,98000,45943.71,15.0
240,188,1146,Consumer Durables Loan,180016123241265.0,2019-06-19,,3,43000,6775.53,13.23
41,1418,1579,Consumer Durables Loan,38389966665948.0,2023-07-27,2023-12-28,3,66000,24886.1,12.95
371,642,4137,Consumer Durables Loan,4500850316372155.0,2021-12-13,,3,94000,85174.04,15.63
851,392,2496,Consumer Durables Loan,2246673736470422.0,2023-11-22,,3,66000,11751.58,9.87
305,150,859,Consumer Durables Loan,2296666564356001.0,2021-03-30,,3,96000,79619.98,7.16
437,211,1271,Consumer Durables Loan,3565730570172935.0,2022-06-10,,3,53000,30806.12,8.28
372,243,1478,Consumer Durables Loan,3597641703217293.0,2021-12-13,,3,11000,10785.97,15.97
586,249,1517,Consumer Durables Loan,4371904112621.0,2023-02-06,,3,44000,9772.88,8.11
252,1039,9837,Consumer Durables Loan,213134224193557.0,2020-01-07,,3,14000,9871.69,11.65
36,518,3292,Consumer Durables Loan,3575259860385294.0,2023-02-10,,3,94000,73201.7,7.61
868,549,3504,Consumer Durables Loan,3501107487792567.0,2023-12-12,,3,23000,11121.85,15.52
846,1001,9247,Consumer Durables Loan,4.8301461278316308e+18,2023-11-20,,3,36000,7152.75,7.06
501,190,1165,Consumer Durables Loan,4996480919658627.0,2022-09-23,,3,33000,6671.66,10.71
821,351,2232,Consumer Durables Loan,30461159234879.0,2023-11-01,,3,100000,39112.17,8.35
292,85,489,Consumer Durables Loan,4583538162539.0,2020-12-31,,3,74000,3098.8,11.03
475,718,4660,Consumer Durables Loan,2240041977085513.0,2022-08-12,,3,49000,2826.2,10.12
308,499,3187,Consumer Durables Loan,3566704371402832.0,2021-04-03,,3,49000,37020.3,13.35
263,223,1353,Consumer Durables Loan,4768022119602405.0,2020-04-18,,3,76000,69055.61,14.43
427,399,2527,Consumer Durables Loan,4407294715964458.0,2022-05-22,,3,41000,8748.57,12.14
787,676,4380,Consumer Durables Loan,3596539764386372.0,2023-09-30,,3,16000,4747.81,11.58
41,1289,1168,Consumer Durables Loan,373221600955703.0,2023-04-25,,3,7000,3513.71,15.99
9,1386,1067,Consumer Durables Loan,6011576713651183.0,2021-11-16,2022-11-26,3,19000,13835.71,12.74
728,32,219,Consumer Durables Loan,180086202921558.0,2023-08-06,,3,41000,27328.2,8.25
476,491,3151,Consumer Durables Loan,3555208681824746.0,2022-08-21,,3,84000,82536.56,15.11
70,1447,4832,Consumer Durables Loan,3560540890084545.0,2021-01-19,2021-11-03,3,38000,25254.51,7.8
73,1450,3477,Consumer Durables Loan,4400967660781442.0,2020-09-20,2022-02-03,3,5000,2749.0,11.99
373,609,3893,Consumer Durables Loan,502063884022.0,2021-12-29,,3,31000,7512.54,15.96
762,352,2235,Consumer Durables Loan,560052847905.0,2023-09-11,,3,43000,23844.87,9.74
685,831,6275,Consumer Durables Loan,4.3367500264670771e+18,2023-06-29,,3,52000,26078.51,15.79
38,1415,3448,Consumer Durables Loan,30034460984886.0,2023-03-30,2023-12-11,3,76000,50214.69,8.59
541,493,3167,Consumer Durables Loan,4164163464971332.0,2022-11-30,,3,22000,5254.12,10.36
803,682,4429,Consumer Durables Loan,4269718258687842.0,2023-10-11,,3,74000,21349.0,11.49
254,468,3023,Consumer Durables Loan,4.65479e+15,2020-01-30,,3,39000,23901.31,8.92
377,175,1040,Consumer Durables Loan,180049478234171.0,2022-01-03,,3,27000,26922.9,7.88
493,537,3405,Consumer Durables Loan,4334743828336.0,2022-09-15,,3,47000,43278.66,13.19
401,266,1690,Consumer Durables Loan,2255121816409934.0,2022-03-04,,3,72000,64374.87,6.3
47,1424,4553,Consumer Durables Loan,6525246808590642.0,2022-02-22,2023-12-26,3,20000,7358.87,15.33
760,134,769,Consumer Durables Loan,6011660319807405.0,2023-09-07,,3,27611,21000.0,8.98
316,764,5159,Consumer Durables Loan,4.6020506040399841e+18,2021-05-29,,3,14000,12228.31,11.75
51,1299,2425,Consumer Durables Loan,5367242290136526.0,2023-03-05,,3,40000,11714.86,15.64
385,105,590,Consumer Durables Loan,30151569438406.0,2022-01-17,,3,26000,6407.09,6.71
83,341,2156,Consumer Durables Loan,378380764620985.0,2023-12-06,,3,85000,69992.21,6.68
348,220,1333,Consumer Durables Loan,3563138559521977.0,2021-10-13,,3,87000,60912.22,14.71
658,649,4190,Consumer Durables Loan,676213440396.0,2023-05-29,,3,23000,11429.26,11.06
612,244,1480,Consumer Durables Loan,4368948307590842.0,2023-03-16,,3,95000,47729.66,11.59
440,801,5684,Consumer Durables Loan,2289431673280009.0,2022-06-15,,3,79000,50379.24,10.43
730,1003,9274,Consumer Durables Loan,676387770487.0,2023-08-09,,3,11000,4818.19,12.15
577,760,5126,Consumer Durables Loan,213140633604894.0,2023-01-19,,3,9000,1744.53,13.15
270,559,3573,Consumer Durables Loan,3518920873091241.0,2020-06-17,,3,87000,36125.47,15.99
614,34,225,Consumer Durables Loan,30309168929221.0,2023-03-20,,3,76000,56162.67,9.12
344,854,6753,Consumer Durables Loan,180078554083269.0,2021-10-07,,3,89000,26099.72,14.15
651,126,707,Consumer Durables Loan,342596823084060.0,2023-05-23,,3,92000,23930.47,11.85
522,94,513,Consumer Durables Loan,3542738515806325.0,2022-11-06,,3,30000,19678.05,10.57
742,519,3297,Consumer Durables Loan,4292975956839.0,2023-08-16,,3,41000,22016.09,6.81
630,498,3186,Consumer Durables Loan,2.6999e+15,2023-04-18,,3,11000,3624.54,11.14
399,189,1157,Consumer Durables Loan,376307155479434.0,2022-02-19,,3,12000,2220.66,9.3
496,896,7567,Consumer Durables Loan,6011963483881648.0,2022-09-18,,3,70000,44705.21,10.06
44,1421,1388,Consumer Durables Loan,3500211528404058.0,2023-05-18,2023-11-14,3,77000,23384.34,12.72
633,1102,11183,Consumer Durables Loan,30261402898979.0,2023-04-25,,3,42000,1220.01,8.72
465,1059,10235,Consumer Durables Loan,4792553248665.0,2022-07-29,,3,53000,27636.41,9.06
329,736,4789,Consumer Durables Loan,3575703524270053.0,2021-08-03,,3,49000,27161.63,13.98
50,1427,2388,Consumer Durables Loan,30554927956987.0,2023-02-24,2023-12-25,3,35000,16171.13,15.14
433,110,608,Consumer Durables Loan,5326113806185283.0,2022-05-31,,3,6000,2226.31,12.14
76,1453,1890,Consumer Durables Loan,4.5996334319640453e+18,2020-09-18,2022-01-30,3,60000,41143.5,11.21
627,170,1020,Consumer Durables Loan,30419287604694.0,2023-04-16,,3,82000,5819.52,9.07
439,297,1883,Consumer Durables Loan,2299078989459443.0,2022-06-15,,3,67000,1248.54,13.43
823,524,3333,Consumer Durables Loan,3529538435501882.0,2023-11-02,,3,90000,6651.44,9.71
54,1431,2363,Consumer Durables Loan,377219129927647.0,2018-12-21,2020-04-11,3,40000,30613.26,15.03
359,441,2785,Consumer Durables Loan,4.49007e+15,2021-11-05,,3,7000,6185.79,7.41
311,157,907,Consumer Durables Loan,4568328494309.0,2021-04-24,,3,77000,48679.55,10.34
432,50,309,Consumer Durables Loan,4622553697455226.0,2022-05-28,,3,33000,11283.99,11.34
317,1134,11742,Consumer Durables Loan,4522807457908126.0,2021-05-31,,3,88000,60819.75,12.55
768,880,7186,Consumer Durables Loan,340166166440550.0,2023-09-17,,3,90000,28029.36,12.05
528,254,1578,Consumer Durables Loan,3525287629986871.0,2022-11-11,,3,86000,79718.09,6.15
861,219,1329,Consumer Durables Loan,3529501563996118.0,2023-12-04,,3,75000,70359.57,6.39
629,755,5002,Consumer Durables Loan,563616791452.0,2023-04-16,,3,39000,1693.43,11.29
779,414,2606,Consumer Durables Loan,213170967034202.0,2023-09-26,,3,41000,15847.19,15.51
681,16,116,Consumer Durables Loan,213108809100054.0,2023-06-23,,3,34000,12062.32,12.29
650,717,4654,Consumer Durables Loan,6505675713990824.0,2023-05-19,,3,96000,24758.77,13.1
323,265,1680,Consumer Durables Loan,3501348869396649.0,2021-06-28,,3,90000,3875.03,12.51
643,412,2585,Consumer Durables Loan,3501226961548566.0,2023-05-09,,3,67000,18748.7,9.81
831,1165,12291,Consumer Durables Loan,30335813909060.0,2023-11-08,,3,28000,25321.0,10.35
59,1436,4211,Consumer Durables Loan,4.188570062059818e+18,2019-09-14,2020-09-07,3,66000,23584.72,13.82
687,142,810,Consumer Durables Loan,3526436733209386.0,2023-07-01,,3,20000,18682.63,6.89
749,96,528,Consumer Durables Loan,30222221620192.0,2023-08-26,,3,10000,4658.34,13.38
52,1429,694,Consumer Durables Loan,6544251281165075.0,2022-08-19,2023-12-28,3,6000,2965.53,10.89
753,405,2542,Consumer Durables Loan,4672497113778036.0,2023-08-31,,3,39000,4914.79,10.83
430,349,2214,Consumer Durables Loan,6011218427888682.0,2022-05-26,,3,67000,8988.74,8.37
879,829,6255,Consumer Durables Loan,4.67631e+15,2023-12-22,,3,44000,37380.25,15.57
405,841,6468,Consumer Durables Loan,180033669794128.0,2022-03-06,,3,68000,64269.02,13.51
448,280,1793,Consumer Durables Loan,4.3984350481413023e+18,2022-06-22,,3,29000,4491.32,6.32
53,1301,13231,Consumer Durables Loan,30099306819943.0,2021-05-20,,3,48000,24192.78,13.03
833,820,6039,Consumer Durables Loan,3.59828e+15,2023-11-10,,3,44000,25966.38,8.94
642,284,1807,Consumer Durables Loan,4117473628051006.0,2023-05-07,,3,45000,12074.48,6.37
691,260,1616,Consumer Durables Loan,213164995238299.0,2023-07-05,,3,88000,57518.47,10.27
790,744,4863,Consumer Durables Loan,3548202767630812.0,2023-10-02,,3,71000,51414.63,6.17
679,332,2126,Consumer Durables Loan,4652404924819888.0,2023-06-19,,3,86000,74828.36,9.42
883,728,4725,Consumer Durables Loan,4338803896834696.0,2023-12-24,,3,61000,22417.71,13.64
639,448,2864,Consumer Durables Loan,3553212324430335.0,2023-04-29,,3,39000,22174.24,6.07
2,1379,2688,Consumer Durables Loan,4217921760811.0,2019-12-23,2021-04-16,3,26000,12614.26,11.02
408,400,2529,Consumer Durables Loan,180088098369355.0,2022-04-06,,3,7000,3703.62,13.61
78,1455,4638,Consumer Durables Loan,676271369081.0,2021-06-13,2022-05-10,3,2000,1779.62,7.45
869,172,1030,Consumer Durables Loan,4903502669222718.0,2023-12-14,,3,12000,11340.39,8.25
726,78,468,Consumer Durables Loan,180092996656368.0,2023-08-04,,3,8000,1000.64,9.36
336,470,3036,Consumer Durables Loan,676239483644.0,2021-09-02,,3,28000,17191.35,12.1
264,159,946,Consumer Durables Loan,630485684199.0,2020-05-01,,3,12000,11087.92,11.15
33,1410,2977,Consumer Durables Loan,4.94194e+15,2023-04-28,2023-11-30,3,86000,49750.38,9.04
250,658,4251,Consumer Durables Loan,3.52971e+15,2019-12-25,,3,42000,15549.56,9.2
83,1460,1378,Consumer Durables Loan,2232963411040293.0,2020-09-23,2022-09-11,3,93000,71757.16,10.37
